dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
bupa-liver-disorders,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,2,0.457,0.457,0.457,6.0,4.467,26.8,0.742,0.659,0.723,0.64,0.1,0.1,0.1,0.0,0.281,1.687,0.02,0.057,0.024,0.061
bupa-liver-disorders,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,2,0.505,0.505,0.505,10.0,4.62,46.2,0.751,0.646,0.743,0.642,0.11,0.11,0.11,0.0,0.266,2.658,0.018,0.079,0.018,0.077
bupa-liver-disorders,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,2,0.491,0.491,0.491,15.0,4.546,68.1,0.791,0.681,0.783,0.67,0.028,0.028,0.028,1.054,0.221,4.533,0.017,0.05,0.021,0.053
bupa-liver-disorders,RuleKit_mincov-5_measure-C2,2,0.479,0.479,0.479,52.9,3.366,178.0,0.947,0.71,0.945,0.701,0.133,0.133,0.133,1.287,0.173,8.781,0.011,0.045,0.009,0.041
bupa-liver-disorders,RuleKit_mincov-5_measure-C2_maxNbRules-10,2,0.46,0.46,0.46,20.0,4.025,80.5,0.837,0.687,0.832,0.682,0.063,0.063,0.063,0.0,0.181,3.629,0.019,0.07,0.018,0.079
bupa-liver-disorders,RuleKit_mincov-5_measure-C2_maxNbRules-100,2,0.584,0.584,0.584,153.5,2.735,419.8,0.999,0.719,0.999,0.711,0.114,0.114,0.114,2.915,0.05,12.1,0.001,0.084,0.001,0.086
bupa-liver-disorders,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,2,0.436,0.436,0.436,10.0,4.26,42.6,0.778,0.664,0.767,0.652,0.047,0.047,0.047,0.0,0.196,1.955,0.013,0.055,0.013,0.053
bupa-liver-disorders,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,2,0.497,0.497,0.497,26.8,3.905,104.7,0.865,0.702,0.862,0.697,0.079,0.079,0.079,1.033,0.13,5.964,0.017,0.065,0.016,0.068
bupa-liver-disorders,RuleKit_mincov-5_measure-C2_maxNbRules-3,2,0.453,0.453,0.453,6.0,4.133,24.8,0.732,0.638,0.718,0.625,0.132,0.132,0.132,0.0,0.233,1.398,0.015,0.094,0.01,0.093
bupa-liver-disorders,RuleKit_mincov-5_measure-C2_maxNbRules-5,2,0.474,0.474,0.474,10.0,4.26,42.6,0.778,0.664,0.767,0.652,0.116,0.116,0.116,0.0,0.196,1.955,0.013,0.055,0.013,0.053
bupa-liver-disorders,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,2,0.558,0.558,0.558,53.2,3.511,186.8,0.958,0.725,0.956,0.714,0.138,0.138,0.138,1.398,0.103,7.269,0.012,0.053,0.013,0.056
bupa-liver-disorders,RuleKit_mincov-5_measure-Correlation,2,0.71,0.71,0.71,27.6,4.52,124.9,0.811,0.669,0.812,0.665,0.197,0.197,0.197,2.459,0.168,13.755,0.029,0.068,0.027,0.063
bupa-liver-disorders,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,2,0.685,0.685,0.685,20.0,4.505,90.1,0.8,0.684,0.794,0.674,0.203,0.203,0.203,0.0,0.202,4.04,0.015,0.062,0.014,0.059
bupa-liver-disorders,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,2,1.022,1.022,1.022,82.1,4.606,378.3,0.844,0.675,0.844,0.673,0.222,0.222,0.222,8.373,0.108,41.218,0.022,0.071,0.022,0.073
bupa-liver-disorders,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,2,0.532,0.532,0.532,5.8,4.425,25.8,0.741,0.656,0.722,0.637,0.121,0.121,0.121,0.632,0.352,4.104,0.022,0.059,0.025,0.063
bupa-liver-disorders,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,2,0.52,0.52,0.52,14.4,4.589,66.1,0.782,0.676,0.777,0.668,0.086,0.086,0.086,1.578,0.216,7.923,0.021,0.059,0.023,0.064
bupa-liver-disorders,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,2,0.496,0.496,0.496,6.0,4.467,26.8,0.742,0.659,0.723,0.64,0.129,0.129,0.129,0.0,0.281,1.687,0.02,0.057,0.024,0.061
bupa-liver-disorders,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,2,0.491,0.491,0.491,10.0,4.62,46.2,0.751,0.646,0.743,0.642,0.08,0.08,0.08,0.0,0.266,2.658,0.018,0.079,0.018,0.077
bupa-liver-disorders,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,2,0.621,0.621,0.621,28.0,4.576,128.0,0.829,0.672,0.826,0.669,0.089,0.089,0.089,2.494,0.19,11.45,0.024,0.061,0.02,0.068
bupa-liver-disorders,rulefit,2,0.884,6.628,0.884,27.8,2.675,74.3,0.82,0.69,0.826,0.699,0.07,0.322,0.07,1.229,0.221,6.093,0.018,0.06,0.017,0.059
car,AQ15,4,1.408,1.408,1.408,72.2,5.187,374.4,1.0,0.974,1.0,0.941,0.112,0.112,0.112,5.574,0.039,28.021,0.0,0.017,0.0,0.048
car,CN2_default,4,1.016,1.017,1.017,106.1,2.254,239.5,1.0,0.952,1.0,0.895,0.071,0.071,0.071,7.062,0.066,21.936,0.0,0.014,0.0,0.049
car,CN2_v2,4,0.187,0.187,0.187,63.7,2.39,152.3,0.979,0.944,0.956,0.875,0.011,0.011,0.011,3.057,0.051,9.581,0.003,0.018,0.013,0.048
car,IDS,4,4.176,4.178,4.177,16.5,2.156,35.5,0.786,0.785,0.451,0.451,0.049,0.049,0.049,3.24,0.087,6.884,0.037,0.037,0.013,0.014
car,JRip,4,0.171,0.872,0.186,38.6,3.945,152.8,0.917,0.876,0.861,0.755,0.094,1.538,0.116,10.024,0.095,41.779,0.03,0.027,0.067,0.09
car,LORD,4,0.094,0.094,0.094,221.1,4.821,1066.0,,0.902,,,0.083,0.083,0.083,7.295,0.044,41.897,,0.032,,
car,MLRules,4,0.393,0.394,0.393,100.0,4.059,405.9,0.978,0.969,0.947,0.924,0.01,0.01,0.01,0.0,0.105,10.472,0.002,0.013,0.012,0.039
car,OneR,4,0.0,0.0,0.0,4.0,1.0,4.0,0.7,0.7,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.0,0.0
car,RuleKit_mincov-10perMinClass_measure-C2,4,0.482,0.482,0.482,65.2,3.319,216.4,0.912,0.882,0.653,0.565,0.082,0.082,0.082,1.874,0.047,7.662,0.007,0.024,0.028,0.045
car,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,4,0.427,0.427,0.427,38.7,3.042,117.7,0.888,0.862,0.682,0.612,0.081,0.081,0.081,0.675,0.025,1.889,0.005,0.028,0.02,0.088
car,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,4,0.507,0.507,0.507,180.1,4.931,888.1,0.973,0.894,0.902,0.682,0.108,0.108,0.108,2.807,0.037,18.976,0.009,0.015,0.037,0.052
car,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,4,0.423,0.423,0.423,25.4,2.648,67.4,0.863,0.844,0.611,0.537,0.05,0.05,0.05,2.066,0.084,7.471,0.008,0.028,0.037,0.067
car,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,4,0.513,0.513,0.513,65.3,3.746,244.7,0.919,0.884,0.753,0.637,0.076,0.076,0.076,1.889,0.08,10.499,0.005,0.029,0.027,0.094
car,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,4,0.311,0.311,0.311,11.0,1.809,19.9,0.78,0.778,0.564,0.556,0.08,0.08,0.08,0.0,0.029,0.316,0.017,0.037,0.027,0.055
car,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,4,0.426,0.426,0.426,18.0,2.294,41.3,0.827,0.807,0.567,0.484,0.071,0.071,0.071,0.0,0.064,1.16,0.006,0.032,0.049,0.084
car,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,4,0.53,0.53,0.53,102.1,4.294,438.5,0.945,0.892,0.816,0.654,0.132,0.132,0.132,1.663,0.061,11.9,0.01,0.035,0.032,0.082
car,RuleKit_mincov-10perMinClass_measure-Correlation,4,0.458,0.458,0.458,22.6,2.113,47.9,0.768,0.774,0.711,0.684,0.104,0.104,0.104,1.506,0.139,5.744,0.028,0.049,0.014,0.092
car,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,4,0.445,0.445,0.445,28.4,2.518,71.5,0.806,0.8,0.77,0.718,0.079,0.079,0.079,1.506,0.077,4.197,0.04,0.057,0.047,0.106
car,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,4,0.421,0.421,0.421,36.8,3.021,111.4,0.811,0.807,0.788,0.74,0.052,0.052,0.052,2.394,0.18,12.258,0.047,0.063,0.053,0.107
car,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,4,0.148,0.148,0.148,6.0,1.333,8.0,0.359,0.355,0.551,0.547,0.02,0.02,0.02,0.0,0.0,0.0,0.006,0.04,0.007,0.058
car,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,4,0.409,0.409,0.409,19.4,1.999,38.9,0.732,0.723,0.71,0.67,0.069,0.069,0.069,1.506,0.118,4.909,0.033,0.054,0.029,0.093
car,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,4,0.271,0.271,0.271,10.2,1.657,16.9,0.711,0.704,0.665,0.627,0.039,0.039,0.039,0.422,0.047,0.738,0.026,0.059,0.018,0.066
car,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,4,0.451,0.451,0.451,17.3,1.885,32.6,0.716,0.711,0.704,0.675,0.091,0.091,0.091,0.483,0.103,1.955,0.028,0.058,0.03,0.095
car,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,4,0.484,0.484,0.484,31.0,2.689,83.6,0.807,0.805,0.767,0.722,0.084,0.084,0.084,2.582,0.186,11.027,0.042,0.061,0.049,0.104
car,RuleKit_mincov-5_measure-C2,4,0.432,0.432,0.432,69.4,3.445,239.1,0.913,0.879,0.657,0.571,0.037,0.037,0.037,1.647,0.033,7.141,0.006,0.026,0.031,0.043
car,RuleKit_mincov-5_measure-C2_maxNbRules-10,4,0.457,0.457,0.457,38.7,3.042,117.7,0.888,0.862,0.682,0.612,0.097,0.097,0.097,0.675,0.025,1.889,0.005,0.028,0.02,0.088
car,RuleKit_mincov-5_measure-C2_maxNbRules-100,4,0.536,0.536,0.536,180.1,4.931,888.1,0.973,0.894,0.902,0.682,0.126,0.126,0.126,2.807,0.037,18.976,0.009,0.015,0.037,0.052
car,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,4,0.403,0.403,0.403,27.0,2.719,73.4,0.867,0.85,0.625,0.565,0.058,0.058,0.058,0.0,0.026,0.699,0.008,0.025,0.021,0.061
car,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,4,0.414,0.414,0.414,67.9,3.8,258.1,0.923,0.883,0.763,0.624,0.016,0.016,0.016,1.912,0.092,12.06,0.009,0.023,0.022,0.06
car,RuleKit_mincov-5_measure-C2_maxNbRules-3,4,0.303,0.303,0.303,11.0,1.809,19.9,0.78,0.778,0.564,0.556,0.061,0.061,0.061,0.0,0.029,0.316,0.017,0.037,0.027,0.055
car,RuleKit_mincov-5_measure-C2_maxNbRules-5,4,0.447,0.447,0.447,18.0,2.294,41.3,0.827,0.807,0.567,0.484,0.066,0.066,0.066,0.0,0.064,1.16,0.006,0.032,0.049,0.084
car,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,4,0.493,0.493,0.493,104.8,4.323,453.1,0.945,0.892,0.817,0.646,0.078,0.078,0.078,1.687,0.028,8.252,0.01,0.036,0.039,0.084
car,RuleKit_mincov-5_measure-Correlation,4,0.41,0.41,0.41,24.1,2.199,53.2,0.774,0.777,0.721,0.683,0.061,0.061,0.061,1.912,0.155,7.254,0.037,0.048,0.026,0.087
car,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,4,0.453,0.453,0.453,28.4,2.518,71.5,0.806,0.8,0.77,0.718,0.116,0.116,0.116,1.506,0.077,4.197,0.04,0.057,0.047,0.106
car,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,4,0.459,0.459,0.459,36.8,3.021,111.4,0.811,0.807,0.788,0.74,0.065,0.065,0.065,2.394,0.18,12.258,0.047,0.063,0.053,0.107
car,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,4,0.243,0.243,0.243,8.5,1.527,13.3,0.568,0.559,0.624,0.61,0.051,0.051,0.051,2.173,0.171,4.596,0.18,0.184,0.066,0.064
car,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,4,0.437,0.437,0.437,19.8,2.002,39.8,0.732,0.725,0.709,0.671,0.05,0.05,0.05,2.3,0.12,6.512,0.033,0.053,0.029,0.092
car,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,4,0.301,0.301,0.301,10.2,1.657,16.9,0.711,0.704,0.665,0.627,0.059,0.059,0.059,0.422,0.047,0.738,0.026,0.059,0.018,0.066
car,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,4,0.442,0.442,0.442,17.3,1.885,32.6,0.716,0.711,0.704,0.675,0.06,0.06,0.06,0.483,0.103,1.955,0.028,0.058,0.03,0.095
car,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,4,0.414,0.414,0.414,32.2,2.751,88.9,0.807,0.805,0.773,0.728,0.045,0.045,0.045,2.821,0.197,12.476,0.043,0.06,0.051,0.098
cleveland,AQ15,5,1.557,1.557,1.557,132.286,3.413,451.714,1.0,0.545,1.0,0.246,0.04,0.04,0.04,3.988,0.25,22.321,0.0,0.045,0.0,0.048
cleveland,CN2_default,5,2.736,2.737,2.737,127.8,1.955,249.8,0.998,0.476,0.998,0.251,0.13,0.13,0.13,5.493,0.025,10.239,0.002,0.071,0.002,0.064
cleveland,CN2_v2,5,0.949,0.951,0.949,51.8,1.764,91.4,0.779,0.508,0.61,0.272,0.065,0.07,0.065,1.229,0.101,6.569,0.015,0.075,0.051,0.074
cleveland,IDS,5,3.534,3.535,3.535,17.1,1.953,33.4,0.541,0.542,0.2,0.2,0.049,0.049,0.049,1.197,0.047,2.591,0.002,0.016,0.0,0.0
cleveland,JRip,5,0.012,0.012,0.012,2.5,3.275,7.8,0.602,0.554,0.335,0.247,0.002,0.003,0.002,1.841,0.735,5.574,0.042,0.043,0.099,0.059
cleveland,LORD,5,0.086,0.086,0.086,153.3,2.91,416.7,,0.503,,,0.073,0.073,0.073,25.751,1.349,133.494,,0.066,,
cleveland,MLRules,5,0.139,0.14,0.139,100.0,6.264,626.4,0.951,0.554,0.926,0.28,0.004,0.004,0.004,0.0,0.14,14.025,0.008,0.079,0.014,0.063
cleveland,OneR,5,0.0,0.001,0.0,3.9,1.0,3.9,0.578,0.508,0.306,0.239,0.0,0.0,0.0,0.568,0.0,0.568,0.005,0.081,0.02,0.079
cleveland,RuleKit_mincov-10perMinClass_measure-C2,5,0.681,0.681,0.681,40.8,4.854,198.1,0.896,0.551,0.859,0.273,0.21,0.21,0.21,1.229,0.124,8.937,0.021,0.053,0.028,0.054
cleveland,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,5,0.552,0.552,0.552,49.7,4.151,206.3,0.917,0.538,0.9,0.268,0.163,0.163,0.163,0.483,0.085,5.187,0.013,0.071,0.017,0.087
cleveland,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,5,0.583,0.583,0.583,158.3,3.332,527.8,0.951,0.527,0.942,0.272,0.085,0.085,0.085,6.913,0.113,35.166,0.007,0.046,0.009,0.069
cleveland,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,5,0.468,0.468,0.468,20.0,4.83,96.6,0.786,0.52,0.76,0.298,0.049,0.049,0.049,0.0,0.114,2.271,0.02,0.099,0.027,0.093
cleveland,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,5,0.558,0.558,0.558,51.7,4.087,211.1,0.916,0.528,0.898,0.261,0.207,0.207,0.207,2.669,0.138,8.774,0.012,0.052,0.017,0.076
cleveland,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,5,0.611,0.611,0.611,15.0,4.94,74.1,0.731,0.492,0.716,0.273,0.138,0.138,0.138,0.0,0.232,3.479,0.021,0.082,0.013,0.08
cleveland,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,5,0.583,0.583,0.583,25.0,4.74,118.5,0.839,0.554,0.828,0.33,0.152,0.152,0.152,0.0,0.183,4.577,0.019,0.066,0.026,0.064
cleveland,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,5,0.593,0.593,0.593,92.4,3.499,323.3,0.956,0.537,0.947,0.283,0.156,0.156,0.156,2.319,0.058,9.799,0.008,0.081,0.01,0.111
cleveland,RuleKit_mincov-10perMinClass_measure-Correlation,5,0.575,0.575,0.575,24.7,5.289,130.9,0.794,0.531,0.691,0.294,0.141,0.141,0.141,1.767,0.297,14.731,0.019,0.043,0.03,0.083
cleveland,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,5,0.795,0.795,0.795,45.9,5.248,240.8,0.823,0.564,0.763,0.311,0.187,0.187,0.187,1.287,0.189,7.969,0.012,0.06,0.017,0.103
cleveland,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,5,0.755,0.755,0.755,76.8,5.612,431.6,0.852,0.563,0.79,0.305,0.126,0.126,0.126,4.733,0.206,38.882,0.013,0.077,0.03,0.112
cleveland,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,5,0.481,0.481,0.481,12.5,5.137,64.3,0.708,0.525,0.627,0.312,0.062,0.062,0.062,2.635,0.206,14.236,0.041,0.081,0.044,0.072
cleveland,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,5,0.689,0.689,0.689,32.0,5.188,166.1,0.808,0.554,0.735,0.296,0.114,0.114,0.114,2.582,0.156,15.322,0.016,0.036,0.04,0.09
cleveland,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,5,0.622,0.622,0.622,15.0,5.113,76.7,0.747,0.522,0.662,0.292,0.178,0.178,0.178,0.0,0.235,3.529,0.02,0.078,0.033,0.078
cleveland,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-5,5,0.621,0.621,0.621,25.0,5.2,130.0,0.787,0.551,0.702,0.303,0.099,0.099,0.099,0.0,0.232,5.812,0.012,0.068,0.028,0.103
cleveland,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-50perOrgRules,5,0.85,0.85,0.85,52.8,5.296,279.6,0.836,0.557,0.778,0.292,0.185,0.185,0.185,2.486,0.199,16.952,0.009,0.052,0.018,0.095
cleveland,RuleKit_mincov-5_measure-C2,5,0.532,0.532,0.532,40.8,4.854,198.1,0.896,0.551,0.859,0.273,0.209,0.209,0.209,1.229,0.124,8.937,0.021,0.053,0.028,0.054
cleveland,RuleKit_mincov-5_measure-C2_maxNbRules-10,5,0.563,0.563,0.563,49.7,4.151,206.3,0.917,0.538,0.9,0.268,0.135,0.135,0.135,0.483,0.085,5.187,0.013,0.071,0.017,0.087
cleveland,RuleKit_mincov-5_measure-C2_maxNbRules-100,5,0.666,0.666,0.666,158.3,3.332,527.8,0.951,0.527,0.942,0.272,0.13,0.13,0.13,6.913,0.113,35.166,0.007,0.046,0.009,0.069
cleveland,RuleKit_mincov-5_measure-C2_maxNbRules-10perOrgRules,5,0.488,0.488,0.488,20.0,4.83,96.6,0.786,0.52,0.76,0.298,0.112,0.112,0.112,0.0,0.114,2.271,0.02,0.099,0.027,0.093
cleveland,RuleKit_mincov-5_measure-C2_maxNbRules-25perOrgRules,5,0.611,0.611,0.611,51.7,4.087,211.1,0.916,0.528,0.898,0.261,0.163,0.163,0.163,2.669,0.138,8.774,0.012,0.052,0.017,0.076
cleveland,RuleKit_mincov-5_measure-C2_maxNbRules-3,5,0.472,0.472,0.472,15.0,4.94,74.1,0.731,0.492,0.716,0.273,0.071,0.071,0.071,0.0,0.232,3.479,0.021,0.082,0.013,0.08
cleveland,RuleKit_mincov-5_measure-C2_maxNbRules-5,5,0.475,0.475,0.475,25.0,4.74,118.5,0.839,0.554,0.828,0.33,0.089,0.089,0.089,0.0,0.183,4.577,0.019,0.066,0.026,0.064
cleveland,RuleKit_mincov-5_measure-C2_maxNbRules-50perOrgRules,5,0.64,0.64,0.64,92.4,3.499,323.3,0.956,0.537,0.947,0.283,0.154,0.154,0.154,2.319,0.058,9.799,0.008,0.081,0.01,0.111
cleveland,RuleKit_mincov-5_measure-Correlation,5,0.576,0.576,0.576,24.7,5.289,130.9,0.794,0.531,0.691,0.294,0.118,0.118,0.118,1.767,0.297,14.731,0.019,0.043,0.03,0.083
cleveland,RuleKit_mincov-5_measure-Correlation_maxNbRules-10,5,0.731,0.731,0.731,45.9,5.248,240.8,0.823,0.564,0.763,0.311,0.13,0.13,0.13,1.287,0.189,7.969,0.012,0.06,0.017,0.103
cleveland,RuleKit_mincov-5_measure-Correlation_maxNbRules-100,5,0.83,0.83,0.83,76.8,5.612,431.6,0.852,0.563,0.79,0.305,0.147,0.147,0.147,4.733,0.206,38.882,0.013,0.077,0.03,0.112
cleveland,RuleKit_mincov-5_measure-Correlation_maxNbRules-10perOrgRules,5,0.636,0.636,0.636,12.5,5.137,64.3,0.708,0.525,0.627,0.312,0.192,0.192,0.192,2.635,0.206,14.236,0.041,0.081,0.044,0.072
cleveland,RuleKit_mincov-5_measure-Correlation_maxNbRules-25perOrgRules,5,0.626,0.626,0.626,32.0,5.188,166.1,0.808,0.554,0.735,0.296,0.118,0.118,0.118,2.582,0.156,15.322,0.016,0.036,0.04,0.09
cleveland,RuleKit_mincov-5_measure-Correlation_maxNbRules-3,5,0.532,0.532,0.532,15.0,5.113,76.7,0.747,0.522,0.662,0.292,0.147,0.147,0.147,0.0,0.235,3.529,0.02,0.078,0.033,0.078
cleveland,RuleKit_mincov-5_measure-Correlation_maxNbRules-5,5,0.593,0.593,0.593,25.0,5.2,130.0,0.787,0.551,0.702,0.303,0.168,0.168,0.168,0.0,0.232,5.812,0.012,0.068,0.028,0.103
cleveland,RuleKit_mincov-5_measure-Correlation_maxNbRules-50perOrgRules,5,0.758,0.758,0.758,52.8,5.296,279.6,0.836,0.557,0.778,0.292,0.141,0.141,0.141,2.486,0.199,16.952,0.009,0.052,0.018,0.095
contact-lenses,AQ15,3,0.217,0.217,0.217,6.5,2.604,17.0,1.0,0.683,1.0,0.667,0.03,0.03,0.03,0.707,0.123,2.539,0.0,0.404,0.0,0.408
contact-lenses,CN2_default,3,0.026,0.026,0.026,9.2,1.227,11.4,1.0,0.717,1.0,0.7,0.003,0.003,0.003,1.135,0.108,2.271,0.0,0.416,0.0,0.422
contact-lenses,CN2_v2,3,0.004,0.004,0.004,3.9,1.0,3.9,0.866,0.85,0.903,0.85,0.0,0.0,0.0,0.316,0.0,0.316,0.034,0.337,0.092,0.337
contact-lenses,IDS,3,4.445,4.446,4.446,16.4,3.1,50.7,0.879,0.65,0.862,0.633,0.12,0.12,0.12,2.875,0.199,8.87,0.063,0.355,0.11,0.369
contact-lenses,JRip,3,0.0,0.0,0.0,2.0,1.7,3.4,0.889,0.767,0.932,0.767,0.0,0.0,0.0,0.0,0.422,0.843,0.04,0.344,0.031,0.344
contact-lenses,LORD,3,0.054,0.054,0.054,7.7,2.472,19.1,,0.683,,,0.013,0.013,0.013,1.252,0.096,3.542,,0.183,,
contact-lenses,MLRules,3,0.002,0.002,0.002,100.0,1.948,194.8,0.982,0.65,0.99,0.617,0.0,0.0,0.0,0.0,0.102,10.229,0.023,0.388,0.013,0.393
contact-lenses,OneR,3,0.0,0.0,0.0,2.0,1.0,2.0,0.708,0.667,0.6,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.408,0.017,0.408
contact-lenses,RuleKit_mincov-10perMinClass_measure-C2,3,0.097,0.097,0.097,4.5,2.29,10.4,0.954,0.867,0.975,0.867,0.03,0.03,0.03,0.707,0.165,2.221,0.001,0.322,0.001,0.322
contact-lenses,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,3,0.127,0.127,0.127,7.1,2.442,17.5,0.954,0.783,0.975,0.767,0.042,0.042,0.042,1.197,0.176,3.923,0.001,0.334,0.001,0.344
contact-lenses,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-100,3,0.116,0.116,0.116,7.1,2.442,17.5,0.954,0.783,0.975,0.767,0.02,0.02,0.02,1.197,0.176,3.923,0.001,0.334,0.001,0.344
contact-lenses,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10perOrgRules,3,0.075,0.075,0.075,4.5,2.29,10.4,0.954,0.867,0.975,0.867,0.015,0.015,0.015,0.707,0.165,2.221,0.001,0.322,0.001,0.322
contact-lenses,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-25perOrgRules,3,0.095,0.095,0.095,4.5,2.29,10.4,0.954,0.867,0.975,0.867,0.056,0.056,0.056,0.707,0.165,2.221,0.001,0.322,0.001,0.322
contact-lenses,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-3,3,0.123,0.123,0.123,6.4,2.276,14.6,0.954,0.867,0.975,0.867,0.036,0.036,0.036,0.843,0.075,2.221,0.001,0.322,0.001,0.322
contact-lenses,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-5,3,0.105,0.105,0.105,7.1,2.442,17.5,0.954,0.783,0.975,0.767,0.019,0.019,0.019,1.197,0.176,3.923,0.001,0.334,0.001,0.344
contact-lenses,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-50perOrgRules,3,0.106,0.106,0.106,5.8,2.256,13.2,0.954,0.867,0.975,0.867,0.044,0.044,0.044,1.619,0.107,4.022,0.001,0.322,0.001,0.322
contact-lenses,RuleKit_mincov-10perMinClass_measure-Correlation,3,0.075,0.075,0.075,3.7,1.958,7.3,0.893,0.817,0.943,0.817,0.027,0.027,0.027,0.483,0.172,1.418,0.045,0.337,0.024,0.337
contact-lenses,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10,3,0.107,0.107,0.107,5.8,2.101,12.2,0.893,0.817,0.943,0.817,0.046,0.046,0.046,0.919,0.088,2.044,0.045,0.337,0.024,0.337
contact-lenses,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-100,3,0.104,0.104,0.104,5.8,2.101,12.2,0.893,0.817,0.943,0.817,0.032,0.032,0.032,0.919,0.088,2.044,0.045,0.337,0.024,0.337
contact-lenses,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-10perOrgRules,3,0.071,0.071,0.071,3.7,1.958,7.3,0.893,0.817,0.943,0.817,0.023,0.023,0.023,0.483,0.172,1.418,0.045,0.337,0.024,0.337
contact-lenses,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-25perOrgRules,3,0.074,0.074,0.074,3.7,1.958,7.3,0.893,0.817,0.943,0.817,0.019,0.019,0.019,0.483,0.172,1.418,0.045,0.337,0.024,0.337
contact-lenses,RuleKit_mincov-10perMinClass_measure-Correlation_maxNbRules-3,3,0.1,0.1,0.1,5.6,2.02,11.3,0.893,0.817,0.943,0.817,0.028,0.028,0.028,0.699,0.128,1.494,0.045,0.337,0.024,0.337
